ACTUACIONES DE EMERGENCIA PARA LA RESTAURACIÓN DE DAÑOS POR INCENDIOS FORESTALES EN EL PERÍODO 2004-2014,,,,,,,,,,
Año incendio,Denominación incendio,Provincia,CCAA,Fecha incendio,TTMM INCENDIO,FECHA DE ACCIÓN DE LA RESTAURACIÓN,INVERSION DE LAS ACCIONES (€),SUPERFICIERESTAURADA (HA),% SUPERFICIE RESTAURADA (HA)/SUPERFICIE FORESTAL AFECTADA (HA),ACCIONES REALIZADAS
2005,I. CANGAS DE NARCEA 2005,ASTURIAS,ASTURIAS,26/10/2005,CANGAS DE NARCEA,3/10/2006,"203.246,17",45,#REF!,­30 Ha de tratamientos selvícolas ­15 Ha de repoblación forestal ­1.400 m de mejora de pistas forestales ­Construcción de 1 depósito de agua
2005,I. BARLOVENTO-GARAFÍA (ISLA DE LA PALMA) 2005,SANTA CRUZ DE TENERIFE,CANARIAS,6/09/2005,GARAFIA,12/09/2006,"760.000,00","140,2",#REF!,"­140,20 Ha de tratamientos selvícolas­18.532,02 m de mejora de pista forestal­Construcción de 1 depósito de agua"
2005,I. RIBA DE SAELICES 2005,GUADALAJARA,CASTILLA LA MANCHA,16/07/2005,RIBA DE SAELICES,29/12/2005 12/09/2006,"4.980.000,00","1.776,86",#REF!,"­1.752,86 Ha de tratamientos selvícolas ­933.632,70 m de fajinas­21.208,32 m de restauración de líneas de saca­417 ud de albarradas de madera­33.468,01 m mejora de pistas forestales y rastreras."
2005,I. SEVILLEJA DE LA JARA 2005,TOLEDO,CASTILLA LA MANCHA,21/06/2005,SEVILLEJA DE LA JARA,3/10/2006,"740.000,00","1.150,00",#REF!,"­56,38 Ha de tratamientos selvícolas­4 ud de albarradas de mampostería gavionada ­1.118,73 m3 de diques de mampostería hidráulica (3 Ud)­2.188.940 m subsolado según curvas de nivel (1.100 Ha)"
2005,I. CASAVIEJA 2005,ÁVILA,CASTILLA Y LEÓN,6/08/2005,CASAVIEJA,12/09/2006,"209.999,99",80,#REF!,"­80,00 Ha de tratamientos selvícolas­1.300 m de apertura de pista forestal."
2005,I. BENUZA 2005,LEÓN,CASTILLA Y LEÓN,3/08/2005,BENUZA,12/09/2006,"335.000,00","123,28",#REF!,"­83,00 Ha de tratamientos selvícolas ­111,82 Ha de repoblación forestal­1,95 Ha de apertura de cortafuegos­3.340 m de apertura de pistas forestales­5.640 m de mejora de pistas forestales"
2005,I. CILLEROS DE LA BASTIDA 2005,SALAMANCA,CASTILLA Y LEÓN,18/06/2005,CILLEROS DE LA BASTIDA,12/09/2006,"334.978,06",130,#REF!,"­22,00 Ha de tratamientos selvícolas­107,93 Ha de repoblación forestal­4.600 m demejora de pistas forestales"
2005,I. GALENDE-PORTO 2005,ZAMORA,CASTILLA Y LEÓN,26/09/2005,PORTO,12/09/2006,"259.998,21","274,36",#REF!,"­274,36 Ha de tratamientos selvícolas­18.530 m de restauración de los efectos del uso de bulldózer en la labores de extinción del incendio­39,50 Ha de recuperación de pastizales y del hábitat de la perdiz pardilla"
2005,I. CARDONA 2005,BARCELONA,CATALUÑA,8/07/2005,CARDONA,8/01/2007,"409.999,98","150,92",#REF!,"­10,16 Ha de tratamientos selvícolas ­140,76 Ha de repoblación forestal"
2005,I. CAÑAMERO (2005),CÁCERES,EXTREMADURA,21/07/2005,CAÑAMERO,29/12/2005,"3.979.999,99","2.544,36",#REF!,"­1.684,36 Ha de tratamientos selvícolas ­137 Ha de repoblación forestal­860 Ha de acaballonado del terreno para evitar erosión­3.648 m3 de muros de mampostería en seco­295 Ud de albarradas de madera­99 Ud de diques de mampostería gavionada­118.300 m de mejora de pistas forestales"
2005,I. CARNOTA 2005,A CORUÑA,GALICIA,21/08/2005,CARNOTA,22/12/2006,"400.000,00","71,08",#REF!,"­76,10 Ha de tratamientos selvícolas­24,78 Ha de repoblación forestal­26.800 m mejora de pistas forestales"
2005,I. VILARDEVÓS MANZANEDA 2005,OURENSE,GALICIA,17/08/2005,VILARDEVÓS,21/12/2006,"2.040.000,00","1.304,13",#REF!,"­1.156,61 Ha de repoblación forestal ­147,52 Ha de limpieza de cortafuegos ­63.035 m de mejora de pistas forestales­Construcción de 6 puntos de agua-8.735 m de cerramiento con postes de madera"
2005,I. LAZA (2005),OURENSE,GALICIA,19/08/2005,"CUALEDRO, VERÍN, SAN CIBRAO DAS VIÑAS Y MERCA",29/12/2005,"559.999,99","453,37",#REF!,"­436,83 Ha de repoblación forestal ­16,54 Ha de limpieza de cortafuegos­6.267,81 m de mejora de pistas forestales"
2005,I. PONTEVEDRA (2005),PONTEVEDRA,GALICIA,19/08/2005,FORNELOS DE MONTES Y PAZOS DE BORBÉN,29/12/2005,"950.000,01","595,47",#REF!,"­151,49 Ha de tratamientos selvícolas­443,78 Ha de repoblación forestal­0,20 Ha de limpieza de cortafuegos­26.625 m de mejora de pistas forestales­Construcción de 1 depósito de agua­2.991,96 m de cerramiento de postes de madera"
2004,I. ANDALUCÍA (2004),SEVILLA Y HUELVA,ANDALUCIA,27/07/2004,"MINAS DE RIOTINTO, BERROCAL, EL MADROÑO, ESCACENA DEL CAMPO, AZNALCOLLAR, PATERNA DEL CAMPO, SANLUCAR LA MAYOR, ZALAMEA LA REAL, CAMPILLO, NERVA.",08/11/200415/12/2004,"8.400.000,00","2.250,60",#REF!,"­1.978,45 Ha de tratamientos selvícolas­533,68 Ha de repoblación forestal ­108,95 ud de albarradas de madera ­36,31 Ha de apertura de áreas cortafuegos y fajas auxiliares­13.350 m mejora de pistas forestales ­12.928 m de cerramientos­282 Ha de mejora de pastizales"
2004,I. SIERRA CALDERONA (2004),VALENCIA,C. VALENCIANA,12/08/2004,SERRA,3/11/2004,"1.200.000,00",175,#REF!,"­105,72 Ha de tratamientos selvícolas­275,00 Ha de fajinas­560,81 m3 de muros de mampostería, ­2.400 m mejora de pistas forestales"
2004,I. MONTGRÍ (2004),GIRONA,CATALUÑA,26/09/2004,TORROELLA DE MONTGRÍ,24/05/2005,"308.997,77","107,61",#REF!,"­103,24 Ha de tratamientos selvícolas­1,21 Ha de repoblación forestal­4,37 Ha de apertura de cortafuegos ­5.500 m mejora de pistas forestales"
