ID;UNIDAD;FECHA INICIO;FECHA FIN;TÉRMINO MUNICIPAL;PROVINCIA;COMUNIDAD AUTÓNOMA;OBJETO;EFECTIVOS;COSTE;MES;AÑO;MES + AÑO
134;BIEM II;04/08/2012;07/08/2012;Villa de Mazo (La Palma);Santa Cruz de Tenerife;Canarias;Incendios;124;18.186,97;agosto;2012;ago-12
135;BIEM II;04/08/2012;08/08/2012;La Gomera;Santa Cruz de Tenerife;Canarias;Incendios;201;22.529,26;agosto;2012;ago-12
136;BIEM I, BIEM II;09/08/2012;10/08/2012;Reillo;Cuenca;Castilla-La Mancha;Incendios;122;15.294,88;agosto;2012;ago-12
137;BIEM II;10/08/2012;20/08/2012;La Gomera 2;Santa Cruz de Tenerife;Canarias;Incendios;257;449.352,98;agosto;2012;ago-12
138;BIEM V;10/08/2012;11/08/2012;León;León;Castilla y León;Incendios;35;4.587,04;agosto;2012;ago-12
139;BIEM V;10/08/2012;13/08/2012;O Barco de Valdeorras;Ourense;Galicia;Incendios;186;23.209,72;agosto;2012;ago-12
140;BIEM II;11/08/2012;13/08/2012;El Tanque;Santa Cruz de Tenerife;Canarias;Incendios;117;9.526,60;agosto;2012;ago-12
141;BIEM I;11/08/2012;12/08/2012;Navas de Estena;Ciudad Real;Castilla-La Mancha;Incendios;72;11.620,48;agosto;2012;ago-12
142;BIEM V;11/08/2012;12/08/2012;Valdehijaderos;Salamanca;Castilla y León;Incendios;86;5.013,46;agosto;2012;ago-12
143;BIEM I, IV;11/08/2012;12/08/2012;Casas de Uceda;Guadalajara;Castilla-La Mancha;Incendios;143;15.239,80;agosto;2012;ago-12
144;BIEM II;12/08/2012;14/08/2012;Torremanzanas;Alicante;Comunidad Valenciana;Incendios;239;22.599,54;agosto;2012;ago-12
145;BIEM V, BIEM I;18/08/2012;20/08/2012;Solana de Ávila;Ávila;Castilla y León;Incendios;125;10.423,90;agosto;2012;ago-12
146;BIEM V;18/08/2012;19/08/2012;Cubo de Benavente;Zamora;Castilla y León;Incendios;103;14.706,81;agosto;2012;ago-12
147;BIEM V;19/08/2012;19/08/2012;Villaobispo de Otero;León;Castilla y León;Incendios;24;15.582,62;agosto;2012;ago-12
148;BIEM V, I , II y IV;19/08/2012;24/08/2012;Castrocontrigo;León;Castilla y León;Incendios;442;34.669,83;agosto;2012;ago-12
149;BIEM III Y BHELEME II;19/08/2012;20/08/2012;Capdepera;Baleares;Baleares;Incendios;45;5.971,34;agosto;2012;ago-12
