ano,idprov,province,inmigrations,emigrations,net_migration
1994,41,Sevilla,10210,8260,1950
1994,42,Soria,1162,1244,-82
1994,43,Tarragona,9220,5146,4074
1994,44,Teruel,1604,1697,-93
1994,45,Toledo,8446,5118,3328
1994,46,Valencia,10144,10426,-282
1994,47,Valladolid,4200,4409,-209
1994,48,Vizcaya,5577,10418,-4841
1994,49,Zamora,2001,2282,-281
1994,50,Zaragoza,5438,5337,101
1994,51,Ceuta,1167,1167,0
1994,52,Melilla,1676,1444,232
1995,01,Álava,3442,2838,604
1995,02,Albacete,3515,3763,-248
1995,03,Alicante,14857,9369,5488
1995,04,Almería,5810,4170,1640
1995,05,Ávila,2141,2468,-327
1995,06,Badajoz,5956,6009,-53
1995,07,Baleares,11322,6573,4749
1995,08,Barcelona,22000,32439,-10439
1995,09,Burgos,3427,4079,-652
1995,10,Cáceres,4462,4856,-394
1995,11,Cádiz,7453,10296,-2843
1995,12,Castellón,4870,3290,1580
1995,13,Ciudad Real,4347,4671,-324
1995,14,Córdoba,4899,6350,-1451
1995,15,A Coruña,6904,6063,841
1995,16,Cuenca,2356,2622,-266
1995,17,Girona,7703,5375,2328
1995,18,Granada,6957,8130,-1173
1995,19,Guadalajara,5015,2178,2837
1995,20,Guipúzcoa,3980,5590,-1610
1995,21,Huelva,3138,2922,216
1995,22,Huesca,2296,2218,78
1995,23,Jaén,4584,6703,-2119
1995,24,León,4518,4954,-436
1995,25,Lleida,3794,3402,392
1995,26,La Rioja,3012,2831,181
1995,27,Lugo,2536,2650,-114
1995,28,Madrid,35316,45987,-10671
1995,29,Málaga,9973,7735,2238
1995,30,Murcia,8904,8084,820
1995,31,Navarra,4973,3673,1300
1995,32,Ourense,2570,2949,-379
1995,33,Asturias,4846,5886,-1040
1995,34,Palencia,1683,2289,-606
1995,35,Las Palmas,11279,6299,4980
1995,36,Pontevedra,4836,5583,-747
1995,37,Salamanca,3259,3605,-346
1995,38,Santa Cruz de Tenerife,6380,4478,1902
1995,39,Cantabria,4415,3649,766
1995,40,Segovia,1709,1680,29
1995,41,Sevilla,10304,9776,528
1995,42,Soria,1131,1217,-86
1995,43,Tarragona,9478,5227,4251
1995,44,Teruel,1632,1732,-100
1995,45,Toledo,8993,5575,3418
1995,46,Valencia,11241,10869,372
1995,47,Valladolid,4155,4368,-213
1995,48,Vizcaya,5568,10308,-4740
1995,49,Zamora,1876,2307,-431
1995,50,Zaragoza,5892,5580,312
1995,51,Ceuta,994,1389,-395
1995,52,Melilla,1880,1527,353
1996,01,Álava,2475,1885,590
1996,02,Albacete,2241,2649,-408
1996,03,Alicante,9608,7278,2330
1996,04,Almería,3854,3057,797
1996,05,Ávila,1149,1557,-408
1996,06,Badajoz,4679,4351,328
1996,07,Baleares,9295,5342,3953
1996,08,Barcelona,17282,22228,-4946
1996,09,Burgos,2150,2921,-771
1996,10,Cáceres,2723,3047,-324
1996,11,Cádiz,5818,7991,-2173
1996,12,Castellón,3375,2457,918
1996,13,Ciudad Real,2956,3127,-171
1996,14,Córdoba,4315,4388,-73
1996,15,A Coruña,4425,4767,-342
1996,16,Cuenca,1494,1825,-331
1996,17,Girona,5038,4047,991
1996,18,Granada,4922,5648,-726
1996,19,Guadalajara,3524,1570,1954
1996,20,Guipúzcoa,2361,4046,-1685
1996,21,Huelva,1944,2208,-264
1996,22,Huesca,1476,1643,-167
1996,23,Jaén,3051,4917,-1866
1996,24,León,2544,3441,-897
1996,25,Lleida,2610,2335,275
1996,26,La Rioja,2172,1868,304
1996,27,Lugo,1657,1552,105
1996,28,Madrid,22237,30321,-8084
1996,29,Málaga,6493,5662,831
1996,30,Murcia,7226,5994,1232
1996,31,Navarra,3021,2370,651
1996,32,Ourense,1516,1766,-250
1996,33,Asturias,3603,4033,-430
1996,34,Palencia,1208,1483,-275
1996,35,Las Palmas,10812,5605,5207
1996,36,Pontevedra,3073,4262,-1189
1996,37,Salamanca,2439,2505,-66
1996,38,Santa Cruz de Tenerife,5940,3471,2469
1996,39,Cantabria,3022,2697,325
1996,40,Segovia,1034,1162,-128
1996,41,Sevilla,7626,7469,157
1996,42,Soria,807,732,75
1996,43,Tarragona,6575,4031,2544
1996,44,Teruel,1040,1288,-248
1996,45,Toledo,4585,3801,784
1996,46,Valencia,9724,7338,2386
1996,47,Valladolid,2919,3073,-154
1996,48,Vizcaya,4109,7324,-3215
1996,49,Zamora,1342,1504,-162
1996,50,Zaragoza,3825,3757,68
1996,51,Ceuta,978,1182,-204
1996,52,Melilla,1909,1226,683
1997,01,Álava,3455,2863,592
1997,02,Albacete,3009,3377,-368
1997,03,Alicante,15052,9364,5688
1997,04,Almería,5479,4119,1360
1997,05,Ávila,1794,2172,-378
1997,06,Badajoz,5081,5456,-375
1997,07,Baleares,12572,6727,5845
1997,08,Barcelona,21409,31091,-9682
1997,09,Burgos,3118,3851,-733
1997,10,Cáceres,3815,3990,-175
1997,11,Cádiz,7573,10550,-2977
1997,12,Castellón,4694,3171,1523
1997,13,Ciudad Real,3542,4189,-647
1997,14,Córdoba,4954,6279,-1325
1997,15,A Coruña,6568,6834,-266
1997,16,Cuenca,1844,2418,-574
1997,17,Girona,7809,5238,2571
1997,18,Granada,6777,7999,-1222
1997,19,Guadalajara,4394,2184,2210
1997,20,Guipúzcoa,4118,5305,-1187
1997,21,Huelva,2556,2890,-334
1997,22,Huesca,1998,2108,-110
1997,23,Jaén,4547,5599,-1052
1997,24,León,3477,4795,-1318
1997,25,Lleida,3643,3188,455
1997,26,La Rioja,2830,2453,377
1997,27,Lugo,2396,2488,-92
1997,28,Madrid,31926,41109,-9183
1997,29,Málaga,10586,7223,3363
1997,30,Murcia,8942,7552,1390
1997,31,Navarra,4187,3446,741
1997,32,Ourense,2485,2750,-265
1997,33,Asturias,5123,6046,-923
1997,34,Palencia,1577,2033,-456
1997,35,Las Palmas,13627,7194,6433
1997,36,Pontevedra,4600,6115,-1515
1997,37,Salamanca,2989,3463,-474
1997,38,Santa Cruz de Tenerife,9071,5153,3918
1997,39,Cantabria,4629,3894,735
1997,40,Segovia,1306,1616,-310
