ano,provbaja,origin_province,provalta,destination_province,migration
1988,11,Cádiz,10,Cáceres,27
1988,11,Cádiz,12,Castellón,71
1988,11,Cádiz,13,Ciudad Real,29
1988,11,Cádiz,14,Córdoba,207
1988,11,Cádiz,15,A Coruña,97
1988,11,Cádiz,16,Cuenca,5
1988,11,Cádiz,17,Girona,194
1988,11,Cádiz,18,Granada,375
1988,11,Cádiz,19,Guadalajara,21
1988,11,Cádiz,20,Guipúzcoa,22
1988,11,Cádiz,21,Huelva,229
1988,11,Cádiz,22,Huesca,9
1988,11,Cádiz,23,Jaén,108
1988,11,Cádiz,24,León,20
1988,11,Cádiz,25,Lleida,7
1988,11,Cádiz,26,La Rioja,19
1988,11,Cádiz,27,Lugo,9
1988,11,Cádiz,28,Madrid,835
1988,11,Cádiz,29,Málaga,1052
1988,11,Cádiz,30,Murcia,124
1988,11,Cádiz,31,Navarra,54
1988,11,Cádiz,32,Ourense,2
1988,11,Cádiz,33,Asturias,38
1988,11,Cádiz,34,Palencia,1
1988,11,Cádiz,35,Las Palmas,580
1988,11,Cádiz,36,Pontevedra,80
1988,11,Cádiz,37,Salamanca,40
1988,11,Cádiz,38,Santa Cruz de Tenerife,281
1988,11,Cádiz,39,Cantabria,25
1988,11,Cádiz,40,Segovia,1
1988,11,Cádiz,41,Sevilla,1209
1988,11,Cádiz,42,Soria,12
1988,11,Cádiz,43,Tarragona,142
1988,11,Cádiz,44,Teruel,1
1988,11,Cádiz,45,Toledo,45
1988,11,Cádiz,46,Valencia,148
1988,11,Cádiz,47,Valladolid,37
1988,11,Cádiz,48,Vizcaya,29
1988,11,Cádiz,49,Zamora,7
1988,11,Cádiz,50,Zaragoza,81
1988,11,Cádiz,51,Ceuta,280
1988,11,Cádiz,52,Melilla,41
1988,12,Castellón,01,Álava,3
1988,12,Castellón,02,Albacete,42
1988,12,Castellón,03,Alicante,97
1988,12,Castellón,04,Almería,19
1988,12,Castellón,05,Ávila,2
1988,12,Castellón,06,Badajoz,28
1988,12,Castellón,07,Baleares,65
1988,12,Castellón,08,Barcelona,203
1988,12,Castellón,09,Burgos,2
1988,12,Castellón,10,Cáceres,14
1988,12,Castellón,11,Cádiz,35
1988,12,Castellón,13,Ciudad Real,26
1988,12,Castellón,14,Córdoba,22
1988,12,Castellón,15,A Coruña,13
1988,12,Castellón,16,Cuenca,20
1988,12,Castellón,17,Girona,36
1988,12,Castellón,18,Granada,17
1988,12,Castellón,19,Guadalajara,6
1988,12,Castellón,20,Guipúzcoa,13
1988,12,Castellón,21,Huelva,16
1988,12,Castellón,22,Huesca,7
1988,12,Castellón,23,Jaén,16
1988,12,Castellón,24,León,9
1988,12,Castellón,25,Lleida,30
1988,12,Castellón,26,La Rioja,8
1988,12,Castellón,27,Lugo,5
1988,12,Castellón,28,Madrid,160
1988,12,Castellón,29,Málaga,20
1988,12,Castellón,30,Murcia,61
1988,12,Castellón,31,Navarra,15
1988,12,Castellón,32,Ourense,2
1988,12,Castellón,33,Asturias,7
1988,12,Castellón,34,Palencia,3
1988,12,Castellón,35,Las Palmas,29
1988,12,Castellón,36,Pontevedra,6
1988,12,Castellón,37,Salamanca,9
1988,12,Castellón,38,Santa Cruz de Tenerife,26
1988,12,Castellón,39,Cantabria,5
1988,12,Castellón,40,Segovia,4
1988,12,Castellón,41,Sevilla,45
1988,12,Castellón,42,Soria,6
1988,12,Castellón,43,Tarragona,230
1988,12,Castellón,44,Teruel,55
1988,12,Castellón,45,Toledo,15
1988,12,Castellón,46,Valencia,599
1988,12,Castellón,47,Valladolid,16
1988,12,Castellón,48,Vizcaya,21
1988,12,Castellón,49,Zamora,11
1988,12,Castellón,50,Zaragoza,53
1988,12,Castellón,51,Ceuta,4
1988,12,Castellón,52,Melilla,1
1988,13,Ciudad Real,01,Álava,9
1988,13,Ciudad Real,02,Albacete,111
1988,13,Ciudad Real,03,Alicante,256
1988,13,Ciudad Real,04,Almería,22
1988,13,Ciudad Real,05,Ávila,21
1988,13,Ciudad Real,06,Badajoz,58
1988,13,Ciudad Real,07,Baleares,214
1988,13,Ciudad Real,08,Barcelona,293
1988,13,Ciudad Real,09,Burgos,5
1988,13,Ciudad Real,10,Cáceres,51
1988,13,Ciudad Real,11,Cádiz,47
1988,13,Ciudad Real,12,Castellón,56
1988,13,Ciudad Real,14,Córdoba,164
1988,13,Ciudad Real,15,A Coruña,10
1988,13,Ciudad Real,16,Cuenca,33
1988,13,Ciudad Real,17,Girona,23
1988,13,Ciudad Real,18,Granada,102
1988,13,Ciudad Real,19,Guadalajara,41
1988,13,Ciudad Real,20,Guipúzcoa,5
1988,13,Ciudad Real,21,Huelva,28
1988,13,Ciudad Real,22,Huesca,12
1988,13,Ciudad Real,23,Jaén,97
1988,13,Ciudad Real,24,León,22
1988,13,Ciudad Real,25,Lleida,22
1988,13,Ciudad Real,26,La Rioja,19
1988,13,Ciudad Real,27,Lugo,4
1988,13,Ciudad Real,28,Madrid,2209
1988,13,Ciudad Real,29,Málaga,110
1988,13,Ciudad Real,30,Murcia,93
1988,13,Ciudad Real,31,Navarra,23
1988,13,Ciudad Real,32,Ourense,5
1988,13,Ciudad Real,33,Asturias,23
1988,13,Ciudad Real,34,Palencia,2
1988,13,Ciudad Real,35,Las Palmas,82
1988,13,Ciudad Real,36,Pontevedra,12
1988,13,Ciudad Real,37,Salamanca,23
1988,13,Ciudad Real,38,Santa Cruz de Tenerife,76
1988,13,Ciudad Real,39,Cantabria,25
