Ciudad,Provincia,Comunidad Autónoma,Municipio,Población,Tasa,Casos,Año
Arrasate/Mondragón,Gipuzkoa,País Vasco,Arrasate/Mondragón (País Vasco),21972,"45,51247042",10,2011
Gavà,Barcelona,Cataluña,Gavà (Cataluña),46250,"45,40540541",21,2011
Carmona,Sevilla,Andalucía,Carmona (Andalucía),28679,"45,32933505",13,2011
Godella,València/Valencia,Comunidad Valenciana,Godella (Comunidad Valenciana),13242,"45,31037608",6,2011
Villarrobledo,Albacete,Castilla La Mancha,Villarrobledo (Castilla La Mancha),26485,"45,30866528",12,2011
Gáldar,Las Palmas,Canarias,Gáldar (Canarias),24361,"45,15413981",11,2011
Pozoblanco,Córdoba,Andalucía,Pozoblanco (Andalucía),17735,"45,10854243",8,2011
Albox,Almería,Andalucía,Albox (Andalucía),11091,"45,08159769",5,2011
Villarrubia de los Ojos,Ciudad Real,Castilla La Mancha,Villarrubia de los Ojos (Castilla La Mancha),11096,"45,06128335",5,2011
Ames,A Coruña,Galicia,Ames (Galicia),28852,"45,05753501",13,2011
Vilagarcía de Arousa,Pontevedra,Galicia,Vilagarcía de Arousa (Galicia),37903,"44,85133103",17,2011
Sueca,València/Valencia,Comunidad Valenciana,Sueca (Comunidad Valenciana),28986,"44,84923756",13,2011
Mancha Real,Jaén,Andalucía,Mancha Real (Andalucía),11162,"44,79483963",5,2011
Santomera,Murcia,Región de Murcia,Santomera (Región de Murcia),15649,"44,73129273",7,2011
Cornellà de Llobregat,Barcelona,Cataluña,Cornellà de Llobregat (Cataluña),87243,"44,70272687",39,2011
Figueres,Girona,Cataluña,Figueres (Cataluña),44765,"44,67776164",20,2011
Arcos de la Frontera,Cádiz,Andalucía,Arcos de la Frontera (Andalucía),31496,"44,4500889",14,2011
Álora,Málaga,Andalucía,Álora (Andalucía),13499,"44,44773687",6,2011
Alcaudete,Jaén,Andalucía,Alcaudete (Andalucía),11265,"44,38526409",5,2011
Archena,Murcia,Región de Murcia,Archena (Región de Murcia),18083,"44,24044683",8,2011
Alcoy/Alcoi,Alacant/Alicante,Comunidad Valenciana,Alcoy/Alcoi (Comunidad Valenciana),61093,"44,19491595",27,2011
Sarria,Lugo,Galicia,Sarria (Galicia),13590,"44,15011038",6,2011
Granada,Granada,Andalucía,Granada (Andalucía),240099,"44,14845543",106,2011
Moguer,Huelva,Andalucía,Moguer (Andalucía),20418,"44,07875404",9,2011
Lleida,Lleida,Cataluña,Lleida (Cataluña),138416,"44,07004971",61,2011
Reus,Tarragona,Cataluña,Reus (Cataluña),106709,"44,04501963",47,2011
Manlleu,Barcelona,Cataluña,Manlleu (Cataluña),20445,"44,02054292",9,2011
Elda,Alacant/Alicante,Comunidad Valenciana,Elda (Comunidad Valenciana),54610,"43,94799487",24,2011
Sant Adrià de Besòs,Barcelona,Cataluña,Sant Adrià de Besòs (Cataluña),34157,"43,91486372",15,2011
Tolosa,Gipuzkoa,País Vasco,Tolosa (País Vasco),18232,"43,87889425",8,2011
"Puerto de Santa María, El",Cádiz,Andalucía,"Puerto de Santa María, El (Andalucía)",88917,"43,86112892",39,2011
Vilafranca del Penedès,Barcelona,Cataluña,Vilafranca del Penedès (Cataluña),38785,"43,83137811",17,2011
Madrid,Madrid,Comunidad de Madrid,Madrid (Comunidad de Madrid),3265038,"43,67483625",1426,2011
Coslada,Madrid,Comunidad de Madrid,Coslada (Comunidad de Madrid),91861,"43,54405025",40,2011
San Fernando de Henares,Madrid,Comunidad de Madrid,San Fernando de Henares (Comunidad de Madrid),41380,"43,49927501",18,2011
Móstoles,Madrid,Comunidad de Madrid,Móstoles (Comunidad de Madrid),205015,"43,4114577",89,2011
San Roque,Cádiz,Andalucía,San Roque (Andalucía),29965,"43,38394794",13,2011
San Lorenzo de El Escorial,Madrid,Comunidad de Madrid,San Lorenzo de El Escorial (Comunidad de Madrid),18447,"43,36748523",8,2011
Granadilla de Abona,Santa Cruz de Tenerife,Canarias,Granadilla de Abona (Canarias),41555,"43,31608711",18,2011
Torelló,Barcelona,Cataluña,Torelló (Cataluña),13931,"43,06941354",6,2011
Sant Just Desvern,Barcelona,Cataluña,Sant Just Desvern (Cataluña),16253,"43,06897188",7,2011
Abrera,Barcelona,Cataluña,Abrera (Cataluña),11611,"43,06261304",5,2011
Aranjuez,Madrid,Comunidad de Madrid,Aranjuez (Comunidad de Madrid),55755,"43,04546677",24,2011
Águilas,Murcia,Región de Murcia,Águilas (Región de Murcia),34990,"42,86939125",15,2011
Bailén,Jaén,Andalucía,Bailén (Andalucía),18741,"42,6871565",8,2011
Puerto de la Cruz,Santa Cruz de Tenerife,Canarias,Puerto de la Cruz (Canarias),32817,"42,66081604",14,2011
Alcañiz,Teruel,Aragón,Alcañiz (Aragón),16420,"42,63093788",7,2011
Canals,València/Valencia,Comunidad Valenciana,Canals (Comunidad Valenciana),14084,"42,60153366",6,2011
Lalín,Pontevedra,Galicia,Lalín (Galicia),21127,"42,59951721",9,2011
Soria,Soria,Castilla y León,Soria (Castilla y León),39987,"42,51381699",17,2011
Haro,La Rioja,La Rioja,Haro (La Rioja),11776,"42,45923913",5,2011
Maracena,Granada,Andalucía,Maracena (Andalucía),21264,"42,32505643",9,2011
Medina-Sidonia,Cádiz,Andalucía,Medina-Sidonia (Andalucía),11823,"42,29045082",5,2011
Torrent,València/Valencia,Comunidad Valenciana,Torrent (Comunidad Valenciana),80610,"42,17838978",34,2011
Capdepera,Illes Balears,Illes Balears,Capdepera (Illes Balears),11858,"42,16562658",5,2011
Toledo,Toledo,Castilla La Mancha,Toledo (Castilla La Mancha),83108,"42,11387592",35,2011
"Realejos, Los",Santa Cruz de Tenerife,Canarias,"Realejos, Los (Canarias)",38015,"42,08864922",16,2011
Fuengirola,Málaga,Andalucía,Fuengirola (Andalucía),74054,"41,86134442",31,2011
Camas,Sevilla,Andalucía,Camas (Andalucía),26292,"41,83782139",11,2011
Bétera,València/Valencia,Comunidad Valenciana,Bétera (Comunidad Valenciana),21512,"41,83711417",9,2011
Paterna,València/Valencia,Comunidad Valenciana,Paterna (Comunidad Valenciana),66948,"41,82350481",28,2011
Palma del Río,Córdoba,Andalucía,Palma del Río (Andalucía),21537,"41,78854994",9,2011
Mairena del Alcor,Sevilla,Andalucía,Mairena del Alcor (Andalucía),21560,"41,74397032",9,2011
Moralzarzal,Madrid,Comunidad de Madrid,Moralzarzal (Comunidad de Madrid),11985,"41,71881519",5,2011
Manzanares,Ciudad Real,Castilla La Mancha,Manzanares (Castilla La Mancha),19239,"41,58220282",8,2011
Mérida,Badajoz,Extremadura,Mérida (Extremadura),57797,"41,52464661",24,2011
Maó,Illes Balears,Illes Balears,Maó (Illes Balears),28942,"41,46223481",12,2011
Cartagena,Murcia,Región de Murcia,Cartagena (Región de Murcia),214918,"41,41114285",89,2011
Cerdanyola del Vallès,Barcelona,Cataluña,Cerdanyola del Vallès (Cataluña),58247,"41,20383882",24,2011
Isla Cristina,Huelva,Andalucía,Isla Cristina (Andalucía),21903,"41,09026161",9,2011
Níjar,Almería,Andalucía,Níjar (Andalucía),29284,"40,97800847",12,2011
"Prat de Llobregat, El",Barcelona,Cataluña,"Prat de Llobregat, El (Cataluña)",63499,"40,9455267",26,2011
Igualada,Barcelona,Cataluña,Igualada (Cataluña),39191,"40,82569978",16,2011
Baza,Granada,Andalucía,Baza (Andalucía),22092,"40,73872895",9,2011
Santiago del Teide,Santa Cruz de Tenerife,Canarias,Santiago del Teide (Canarias),12274,"40,73651621",5,2011
Sant Andreu de la Barca,Barcelona,Cataluña,Sant Andreu de la Barca (Cataluña),27094,"40,5993947",11,2011
Badalona,Barcelona,Cataluña,Badalona (Cataluña),219786,"40,49393501",89,2011
Calp,Alacant/Alicante,Comunidad Valenciana,Calp (Comunidad Valenciana),29718,"40,37956794",12,2011
Sant Antoni de Portmany,Illes Balears,Illes Balears,Sant Antoni de Portmany (Illes Balears),22299,"40,36055428",9,2011
Benidorm,Alacant/Alicante,Comunidad Valenciana,Benidorm (Comunidad Valenciana),72062,"40,24312398",29,2011
Castilleja de la Cuesta,Sevilla,Andalucía,Castilleja de la Cuesta (Andalucía),17442,"40,13301227",7,2011
Alcobendas,Madrid,Comunidad de Madrid,Alcobendas (Comunidad de Madrid),109705,"40,10756119",44,2011
Arrecife,Las Palmas,Canarias,Arrecife (Canarias),57357,"40,09972628",23,2011
Villena,Alacant/Alicante,Comunidad Valenciana,Villena (Comunidad Valenciana),34966,"40,03889493",14,2011
Jávea/Xàbia,Alacant/Alicante,Comunidad Valenciana,Jávea/Xàbia (Comunidad Valenciana),32469,"40,03819027",13,2011
Calafell,Tarragona,Cataluña,Calafell (Cataluña),24984,"40,02561639",10,2011
Arrigorriaga,Bizkaia,País Vasco,Arrigorriaga (País Vasco),12511,"39,96483095",5,2011
Algeciras,Cádiz,Andalucía,Algeciras (Andalucía),117810,"39,89474578",47,2011
"Astillero, El",Cantabria,Cantabria,"Astillero, El (Cantabria)",17675,"39,6039604",7,2011
Tudela,Navarra,Navarra,Tudela (Navarra),35429,"39,51565102",14,2011
Huétor Tájar,Granada,Andalucía,Huétor Tájar (Andalucía),10134,"39,47108743",4,2011
Ponferrada,León,Castilla y León,Ponferrada (Castilla y León),68508,"39,4114556",27,2011
"Garriga, La",Barcelona,Cataluña,"Garriga, La (Cataluña)",15236,"39,38041481",6,2011
Murcia,Murcia,Región de Murcia,Murcia (Región de Murcia),442203,"39,34844404",174,2011
Écija,Sevilla,Andalucía,Écija (Andalucía),40718,"39,29466084",16,2011
Rubí,Barcelona,Cataluña,Rubí (Cataluña),73979,"39,2003136",29,2011
Nigrán,Pontevedra,Galicia,Nigrán (Galicia),17879,"39,15207786",7,2011
Santa Cruz de Tenerife,Santa Cruz de Tenerife,Canarias,Santa Cruz de Tenerife (Canarias),222271,"39,14140846",87,2011
Aranda de Duero,Burgos,Castilla y León,Aranda de Duero (Castilla y León),33229,"39,12245328",13,2011
Boadilla del Monte,Madrid,Comunidad de Madrid,Boadilla del Monte (Comunidad de Madrid),46151,"39,00240515",18,2011
Monóvar/Monòver,Alacant/Alicante,Comunidad Valenciana,Monóvar/Monòver (Comunidad Valenciana),12873,"38,84098501",5,2011
Xinzo de Limia,Ourense,Galicia,Xinzo de Limia (Galicia),10329,"38,72591732",4,2011
Algete,Madrid,Comunidad de Madrid,Algete (Comunidad de Madrid),20701,"38,64547606",8,2011
Córdoba,Córdoba,Andalucía,Córdoba (Andalucía),328659,"38,64187501",127,2011
San Cristóbal de La Laguna,Santa Cruz de Tenerife,Canarias,San Cristóbal de La Laguna (Canarias),153187,"38,51501759",59,2011
Albal,València/Valencia,Comunidad Valenciana,Albal (Comunidad Valenciana),15594,"38,47633705",6,2011
Eivissa,Illes Balears,Illes Balears,Eivissa (Illes Balears),49388,"38,47088362",19,2011
Utebo,Zaragoza,Aragón,Utebo (Aragón),18204,"38,45308723",7,2011
Pineda de Mar,Barcelona,Cataluña,Pineda de Mar (Cataluña),26040,"38,40245776",10,2011
"Orotava, La",Santa Cruz de Tenerife,Canarias,"Orotava, La (Canarias)",41706,"38,36378459",16,2011
Teo,A Coruña,Galicia,Teo (Galicia),18266,"38,32256652",7,2011
Jimena de la Frontera,Cádiz,Andalucía,Jimena de la Frontera (Andalucía),10447,"38,28850388",4,2011
Cangas,Pontevedra,Galicia,Cangas (Galicia),26121,"38,28337353",10,2011
Huesca,Huesca,Aragón,Huesca (Aragón),52443,"38,13664359",20,2011
"Zubia, La",Granada,Andalucía,"Zubia, La (Andalucía)",18412,"38,01868347",7,2011
Ibi,Alacant/Alicante,Comunidad Valenciana,Ibi (Comunidad Valenciana),23683,"38,00194232",9,2011
Riba-roja de Túria,València/Valencia,Comunidad Valenciana,Riba-roja de Túria (Comunidad Valenciana),21094,"37,92547644",8,2011
Guadalajara,Guadalajara,Castilla La Mancha,Guadalajara (Castilla La Mancha),84453,"37,8908979",32,2011
Llucmajor,Illes Balears,Illes Balears,Llucmajor (Illes Balears),36959,"37,87981277",14,2011
Benicasim/Benicàssim,Castelló/Castellón,Comunidad Valenciana,Benicasim/Benicàssim (Comunidad Valenciana),18524,"37,78881451",7,2011
Rota,Cádiz,Andalucía,Rota (Andalucía),29125,"37,76824034",11,2011
Villafranca de los Barros,Badajoz,Extremadura,Villafranca de los Barros (Extremadura),13269,"37,68181476",5,2011
Blanes,Girona,Cataluña,Blanes (Cataluña),39834,"37,65627354",15,2011
"Nucia, la",Alacant/Alicante,Comunidad Valenciana,"Nucia, la (Comunidad Valenciana)",18593,"37,64857742",7,2011
Benalmádena,Málaga,Andalucía,Benalmádena (Andalucía),63788,"37,62463159",24,2011
Tordera,Barcelona,Cataluña,Tordera (Cataluña),15974,"37,56103668",6,2011
"Franqueses del Vallès, Les",Barcelona,Cataluña,"Franqueses del Vallès, Les (Cataluña)",18693,"37,44717274",7,2011
Calasparra,Murcia,Región de Murcia,Calasparra (Región de Murcia),10685,"37,43565746",4,2011
Ciudad Real,Ciudad Real,Castilla La Mancha,Ciudad Real (Castilla La Mancha),74798,"37,43415599",28,2011
Montornès del Vallès,Barcelona,Cataluña,Montornès del Vallès (Cataluña),16042,"37,40182022",6,2011
Sanlúcar de Barrameda,Cádiz,Andalucía,Sanlúcar de Barrameda (Andalucía),66944,"37,34464627",25,2011
Yecla,Murcia,Región de Murcia,Yecla (Región de Murcia),34813,"37,3423721",13,2011
"Torres de Cotillas, Las",Murcia,Región de Murcia,"Torres de Cotillas, Las (Región de Murcia)",21443,"37,30821247",8,2011
Humanes de Madrid,Madrid,Comunidad de Madrid,Humanes de Madrid (Comunidad de Madrid),18774,"37,28560776",7,2011
Ceutí,Murcia,Región de Murcia,Ceutí (Región de Murcia),10729,"37,28213254",4,2011
Icod de los Vinos,Santa Cruz de Tenerife,Canarias,Icod de los Vinos (Canarias),24147,"37,27171077",9,2011
Torrevieja,Alacant/Alicante,Comunidad Valenciana,Torrevieja (Comunidad Valenciana),102136,"37,2052949",38,2011
Rincón de la Victoria,Málaga,Andalucía,Rincón de la Victoria (Andalucía),40339,"37,18485833",15,2011
"Viso del Alcor, El",Sevilla,Andalucía,"Viso del Alcor, El (Andalucía)",18828,"37,17867007",7,2011
Calonge,Girona,Cataluña,Calonge (Cataluña),10761,"37,17126661",4,2011
Viladecans,Barcelona,Cataluña,Viladecans (Cataluña),64737,"37,07308031",24,2011
Castro-Urdiales,Cantabria,Cantabria,Castro-Urdiales (Cantabria),32374,"37,06678199",12,2011
Jerez de la Frontera,Cádiz,Andalucía,Jerez de la Frontera (Andalucía),210861,"36,99119325",78,2011
Ermua,Bizkaia,País Vasco,Ermua (País Vasco),16274,"36,8686248",6,2011
Ingenio,Las Palmas,Canarias,Ingenio (Canarias),29871,"36,82501423",11,2011
"Carlota, La",Córdoba,Andalucía,"Carlota, La (Andalucía)",13595,"36,77822729",5,2011
Albacete,Albacete,Castilla La Mancha,Albacete (Castilla La Mancha),171390,"36,75827061",63,2011
Grado,Asturias,Asturias,Grado (Asturias),10901,"36,6938813",4,2011
Mazarrón,Murcia,Región de Murcia,Mazarrón (Región de Murcia),35473,"36,64759113",13,2011
Aguilar de la Frontera,Córdoba,Andalucía,Aguilar de la Frontera (Andalucía),13654,"36,6193057",5,2011
Estepona,Málaga,Andalucía,Estepona (Andalucía),65667,"36,54803783",24,2011
Elche/Elx,Alacant/Alicante,Comunidad Valenciana,Elche/Elx (Comunidad Valenciana),230354,"36,46561379",84,2011
Alaquàs,València/Valencia,Comunidad Valenciana,Alaquàs (Comunidad Valenciana),30235,"36,38167686",11,2011
Alcúdia,Illes Balears,Illes Balears,Alcúdia (Illes Balears),19243,"36,37686431",7,2011
Consuegra,Toledo,Castilla La Mancha,Consuegra (Castilla La Mancha),11022,"36,29105426",4,2011
Oñati,Gipuzkoa,País Vasco,Oñati (País Vasco),11033,"36,25487175",4,2011
Plasencia,Cáceres,Extremadura,Plasencia (Extremadura),41392,"36,23888674",15,2011
Calahorra,La Rioja,La Rioja,Calahorra (La Rioja),24839,"36,23334273",9,2011
"Cabezas de San Juan, Las",Sevilla,Andalucía,"Cabezas de San Juan, Las (Andalucía)",16580,"36,18817853",6,2011
Beniel,Murcia,Región de Murcia,Beniel (Región de Murcia),11068,"36,14022407",4,2011
Logroño,La Rioja,La Rioja,Logroño (La Rioja),152641,"36,0322587",55,2011
Sant Cugat del Vallès,Barcelona,Cataluña,Sant Cugat del Vallès (Cataluña),83337,"35,99841607",30,2011
Narón,A Coruña,Galicia,Narón (Galicia),38910,"35,98046775",14,2011
Tarazona,Zaragoza,Aragón,Tarazona (Aragón),11121,"35,96798849",4,2011
Jaén,Jaén,Andalucía,Jaén (Andalucía),116781,"35,96475454",42,2011
Getafe,Madrid,Comunidad de Madrid,Getafe (Comunidad de Madrid),170115,"35,85809599",61,2011
Andújar,Jaén,Andalucía,Andújar (Andalucía),39095,"35,81020591",14,2011
Alcalá de Guadaíra,Sevilla,Andalucía,Alcalá de Guadaíra (Andalucía),72800,"35,71428571",26,2011
Ávila,Ávila,Castilla y León,Ávila (Castilla y León),59008,"35,58839479",21,2011
Bollullos Par del Condado,Huelva,Andalucía,Bollullos Par del Condado (Andalucía),14055,"35,57452864",5,2011
Ubrique,Cádiz,Andalucía,Ubrique (Andalucía),16873,"35,55977005",6,2011
Balaguer,Lleida,Cataluña,Balaguer (Cataluña),16877,"35,55134206",6,2011
Picanya,València/Valencia,Comunidad Valenciana,Picanya (Comunidad Valenciana),11261,"35,52082408",4,2011
"Masnou, El",Barcelona,Cataluña,"Masnou, El (Cataluña)",22523,"35,51924699",8,2011
Almonte,Huelva,Andalucía,Almonte (Andalucía),22525,"35,51609323",8,2011
"Casar, El",Guadalajara,Castilla La Mancha,"Casar, El (Castilla La Mancha)",11269,"35,49560742",4,2011
Sant Joan d'Alacant,Alacant/Alicante,Comunidad Valenciana,Sant Joan d'Alacant (Comunidad Valenciana),22554,"35,47042653",8,2011
Sant Celoni,Barcelona,Cataluña,Sant Celoni (Cataluña),16949,"35,4003186",6,2011
Torredonjimeno,Jaén,Andalucía,Torredonjimeno (Andalucía),14141,"35,35817835",5,2011
Cuenca,Cuenca,Castilla La Mancha,Cuenca (Castilla La Mancha),56703,"35,27150239",20,2011
Hellín,Albacete,Castilla La Mancha,Hellín (Castilla La Mancha),31199,"35,25754031",11,2011
Villacarrillo,Jaén,Andalucía,Villacarrillo (Andalucía),11357,"35,22056881",4,2011
Torroella de Montgrí,Girona,Cataluña,Torroella de Montgrí (Cataluña),11385,"35,13394818",4,2011
Barbastro,Huesca,Aragón,Barbastro (Aragón),17085,"35,11852502",6,2011
San Fernando,Cádiz,Andalucía,San Fernando (Andalucía),96894,"35,08989205",34,2011
Estella/Lizarra,Navarra,Navarra,Estella/Lizarra (Navarra),14251,"35,08525717",5,2011
Tarragona,Tarragona,Cataluña,Tarragona (Cataluña),134085,"35,05239214",47,2011
Tàrrega,Lleida,Cataluña,Tàrrega (Cataluña),17129,"35,02831455",6,2011
San Miguel de Abona,Santa Cruz de Tenerife,Canarias,San Miguel de Abona (Canarias),17130,"35,0262697",6,2011
Santa María de Guía de Gran Canaria,Las Palmas,Canarias,Santa María de Guía de Gran Canaria (Canarias),14306,"34,95037047",5,2011
Barbate,Cádiz,Andalucía,Barbate (Andalucía),22928,"34,89183531",8,2011
Puerto Lumbreras,Murcia,Región de Murcia,Puerto Lumbreras (Región de Murcia),14339,"34,86993514",5,2011
San Andrés del Rabanedo,León,Castilla y León,San Andrés del Rabanedo (Castilla y León),31562,"34,85203726",11,2011
Palau-solità i Plegamans,Barcelona,Cataluña,Palau-solità i Plegamans (Cataluña),14352,"34,83835006",5,2011
Alcázar de San Juan,Ciudad Real,Castilla La Mancha,Alcázar de San Juan (Castilla La Mancha),31652,"34,7529382",11,2011
Candelaria,Santa Cruz de Tenerife,Canarias,Candelaria (Canarias),25957,"34,67272797",9,2011
Fraga,Huesca,Aragón,Fraga (Aragón),14426,"34,65964231",5,2011
Burgos,Burgos,Castilla y León,Burgos (Castilla y León),179251,"34,5883705",62,2011
Castellar del Vallès,Barcelona,Cataluña,Castellar del Vallès (Cataluña),23238,"34,4263706",8,2011
Castellón de la Plana/Castelló de la Plana,Castelló/Castellón,Comunidad Valenciana,Castellón de la Plana/Castelló de la Plana (Comunidad Valenciana),180114,"34,42264344",62,2011
Alcorcón,Madrid,Comunidad de Madrid,Alcorcón (Comunidad de Madrid),168523,"34,41666716",58,2011
Guía de Isora,Santa Cruz de Tenerife,Canarias,Guía de Isora (Canarias),20396,"34,32045499",7,2011
Calvià,Illes Balears,Illes Balears,Calvià (Illes Balears),52451,"34,31774418",18,2011
Santa Margalida,Illes Balears,Illes Balears,Santa Margalida (Illes Balears),11718,"34,13551801",4,2011
Mutxamel,Alacant/Alicante,Comunidad Valenciana,Mutxamel (Comunidad Valenciana),23522,"34,01071337",8,2011
Priego de Córdoba,Córdoba,Andalucía,Priego de Córdoba (Andalucía),23528,"34,00204012",8,2011
San Javier,Murcia,Región de Murcia,San Javier (Región de Murcia),32366,"33,9862819",11,2011
Santa Cruz de Bezana,Cantabria,Cantabria,Santa Cruz de Bezana (Cantabria),11776,"33,9673913",4,2011
Argentona,Barcelona,Cataluña,Argentona (Cataluña),11776,"33,9673913",4,2011
Teulada,Alacant/Alicante,Comunidad Valenciana,Teulada (Comunidad Valenciana),14722,"33,9627768",5,2011
Illescas,Toledo,Castilla La Mancha,Illescas (Castilla La Mancha),23627,"33,85956744",8,2011
Guillena,Sevilla,Andalucía,Guillena (Andalucía),11823,"33,83236065",4,2011
San Sebastián de los Reyes,Madrid,Comunidad de Madrid,San Sebastián de los Reyes (Comunidad de Madrid),79825,"33,82398998",27,2011
Chiclana de la Frontera,Cádiz,Andalucía,Chiclana de la Frontera (Andalucía),79839,"33,81805884",27,2011
Villaviciosa de Odón,Madrid,Comunidad de Madrid,Villaviciosa de Odón (Comunidad de Madrid),26646,"33,77617654",9,2011
Leganés,Madrid,Comunidad de Madrid,Leganés (Comunidad de Madrid),186552,"33,77074489",63,2011
Vélez-Málaga,Málaga,Andalucía,Vélez-Málaga (Andalucía),77004,"33,76447977",26,2011
Fuenlabrada,Madrid,Comunidad de Madrid,Fuenlabrada (Comunidad de Madrid),198560,"33,74294923",67,2011
Alcantarilla,Murcia,Región de Murcia,Alcantarilla (Región de Murcia),41568,"33,67975366",14,2011
Piera,Barcelona,Cataluña,Piera (Cataluña),14867,"33,63153293",5,2011
Sada,A Coruña,Galicia,Sada (Galicia),14870,"33,62474781",5,2011
Noia,A Coruña,Galicia,Noia (Galicia),14876,"33,6111858",5,2011
Alhaurín el Grande,Málaga,Andalucía,Alhaurín el Grande (Andalucía),23807,"33,60356198",8,2011
Palamós,Girona,Cataluña,Palamós (Cataluña),17918,"33,48588012",6,2011
Olivenza,Badajoz,Extremadura,Olivenza (Extremadura),12008,"33,31112592",4,2011
"Escorial, El",Madrid,Comunidad de Madrid,"Escorial, El (Comunidad de Madrid)",15092,"33,13013517",5,2011
Cabra,Córdoba,Andalucía,Cabra (Andalucía),21188,"33,03756844",7,2011
Tavernes de la Valldigna,València/Valencia,Comunidad Valenciana,Tavernes de la Valldigna (Comunidad Valenciana),18185,"32,99422601",6,2011
San Bartolomé de Tirajana,Las Palmas,Canarias,San Bartolomé de Tirajana (Canarias),54613,"32,95918554",18,2011
Paiporta,València/Valencia,Comunidad Valenciana,Paiporta (Comunidad Valenciana),24298,"32,92452054",8,2011
"Vendrell, El",Tarragona,Cataluña,"Vendrell, El (Cataluña)",36453,"32,91910131",12,2011
"Campello, el",Alacant/Alicante,Comunidad Valenciana,"Campello, el (Comunidad Valenciana)",27345,"32,91278113",9,2011
Puente Genil,Córdoba,Andalucía,Puente Genil (Andalucía),30424,"32,8687878",10,2011
Motril,Granada,Andalucía,Motril (Andalucía),60887,"32,84773433",20,2011
Mijas,Málaga,Andalucía,Mijas (Andalucía),79262,"32,80260402",26,2011
Valle de Trápaga-Trapagaran,Bizkaia,País Vasco,Valle de Trápaga-Trapagaran (País Vasco),12224,"32,72251309",4,2011
Amposta,Tarragona,Cataluña,Amposta (Cataluña),21445,"32,64164141",7,2011
Malgrat de Mar,Barcelona,Cataluña,Malgrat de Mar (Cataluña),18444,"32,53090436",6,2011
Santa Coloma de Farners,Girona,Cataluña,Santa Coloma de Farners (Cataluña),12305,"32,50711093",4,2011
San Bartolomé,Las Palmas,Canarias,San Bartolomé (Canarias),18468,"32,48862898",6,2011
Almuñécar,Granada,Andalucía,Almuñécar (Andalucía),27754,"32,42775816",9,2011
Medina del Campo,Valladolid,Castilla y León,Medina del Campo (Castilla y León),21607,"32,39690841",7,2011
Bullas,Murcia,Región de Murcia,Bullas (Región de Murcia),12361,"32,35984144",4,2011
Torredembarra,Tarragona,Cataluña,Torredembarra (Cataluña),15461,"32,33943471",5,2011
Martos,Jaén,Andalucía,Martos (Andalucía),24739,"32,33760459",8,2011
Lorca,Murcia,Región de Murcia,Lorca (Región de Murcia),92869,"32,30356739",30,2011
Carlet,València/Valencia,Comunidad Valenciana,Carlet (Comunidad Valenciana),15485,"32,28931224",5,2011
"Algaba, La",Sevilla,Andalucía,"Algaba, La (Andalucía)",15519,"32,21857078",5,2011
Utiel,València/Valencia,Comunidad Valenciana,Utiel (Comunidad Valenciana),12449,"32,13109487",4,2011
Sant Feliu de Guíxols,Girona,Cataluña,Sant Feliu de Guíxols (Cataluña),21814,"32,08948382",7,2011
Mont-roig del Camp,Tarragona,Cataluña,Mont-roig del Camp (Cataluña),12476,"32,06155819",4,2011
Almendralejo,Badajoz,Extremadura,Almendralejo (Extremadura),34319,"32,05221597",11,2011
Moncada,València/Valencia,Comunidad Valenciana,Moncada (Comunidad Valenciana),21860,"32,02195791",7,2011
Tortosa,Tarragona,Cataluña,Tortosa (Cataluña),34432,"31,94702602",11,2011
Ontinyent,València/Valencia,Comunidad Valenciana,Ontinyent (Comunidad Valenciana),37606,"31,90980163",12,2011
Meco,Madrid,Comunidad de Madrid,Meco (Comunidad de Madrid),12554,"31,86235463",4,2011
Vic,Barcelona,Cataluña,Vic (Cataluña),40900,"31,78484108",13,2011
Petrer,Alacant/Alicante,Comunidad Valenciana,Petrer (Comunidad Valenciana),34726,"31,67655359",11,2011
Estepa,Sevilla,Andalucía,Estepa (Andalucía),12637,"31,65308222",4,2011
Santa Brígida,Las Palmas,Canarias,Santa Brígida (Canarias),18973,"31,62388658",6,2011
Telde,Las Palmas,Canarias,Telde (Canarias),101375,"31,56596794",32,2011
Tarancón,Cuenca,Castilla La Mancha,Tarancón (Castilla La Mancha),15841,"31,56366391",5,2011
Canovelles,Barcelona,Cataluña,Canovelles (Cataluña),15851,"31,54375118",5,2011
Cartaya,Huelva,Andalucía,Cartaya (Andalucía),19044,"31,50598614",6,2011
Fuente Álamo de Murcia,Murcia,Región de Murcia,Fuente Álamo de Murcia (Región de Murcia),15873,"31,5000315",5,2011
Molina de Segura,Murcia,Región de Murcia,Molina de Segura (Región de Murcia),66775,"31,44889554",21,2011
Alcalá de Henares,Madrid,Comunidad de Madrid,Alcalá de Henares (Comunidad de Madrid),203686,"31,42091258",64,2011
Majadahonda,Madrid,Comunidad de Madrid,Majadahonda (Comunidad de Madrid),70076,"31,39448599",22,2011
Alzira,València/Valencia,Comunidad Valenciana,Alzira (Comunidad Valenciana),44752,"31,28351806",14,2011
Silla,València/Valencia,Comunidad Valenciana,Silla (Comunidad Valenciana),19213,"31,22885546",6,2011
Valverde del Camino,Huelva,Andalucía,Valverde del Camino (Andalucía),12827,"31,18422078",4,2011
Vejer de la Frontera,Cádiz,Andalucía,Vejer de la Frontera (Andalucía),12854,"31,11871791",4,2011
Huércal de Almería,Almería,Andalucía,Huércal de Almería (Andalucía),16074,"31,10613413",5,2011
