Día,Mes,Año,Estación climatológica más cercana,Municipio de origen,Provincia,Superficie forestal afectada (ha),IDGRUPOCAUSA,CAUSA,Temperatura máx,Temperatura (S/N),Humedad % 13h,Humedad (S/N),Velocidad racha máx viento (km/h),Velocidad (S/N),Cumple 30/30/30,Cumple 30/30 (2x)
5,7,2015,Cazorla,Quesada,Jaén,9061,,,"42,4",S,38,N,45,S,N,S
8,7,2015,Granada Aeropuerto,Gualchos,Granada,1463,,,"42,2",S,15,S,42,S,S,S
15,7,2015,Ponferrada,Quintana del Castillo,León,2124,,,"37,7",S,28,S,33,S,S,S
16,7,2015,Talavera de la Reina,Navalcán,Toledo,940,,,"40,1",S,9,S,43,S,S,S
21,7,2015,Villardeciervos,Trabazos,Zamora,878,,,"32,6",S,36,N,40,S,N,S
26,7,2015,Manresa,Odena,Barcelona,1059,,,"34,2",S,17,S,36,S,S,S
26,7,2015,Lagunas de Somoza / León,Lucillo,León,1113,,,"27,1",N,42,N,59,S,N,N
27,7,2015,Soria,Burgo de Osma,Soria,528,,,31,S,27,S,37,S,S,S
28,7,2015,Puerto de Leitariegos,Tineo,Asturias,553,,,"23,6",N,25,S,42,S,N,S
6,8,2015,Coria,Acebo,Cáceres,6831,,,"37,5",S,10,S,37,S,S,S
10,8,2015,Trujillo,Logrosán,Cáceres,776,,,"37,3",S,26,S,35,S,S,S
30,8,2015,Xinzo de Limia,Cualedro,Ourense,1478,,,"34,2",S,34,N,36,S,N,S
19,12,2015,Puerto de Leitariegos / Oviedo,Boal,Asturias,2554,,,"10,4",N,29,S,73,S,N,S
1,9,2014,Burgos,Mercerreyes,Burgos,627,2,Fumadores,"30,4",S,20,S,35,S,S,S
8,7,2014,Sigüenza / Guadalajara,Bustares,Guadalajara,1228,2,Otras negligencias (actividades apícolas),"23,5",N,35,N,31,S,N,N
17,7,2014,Sigüenza / Guadalajara,Cogolludo,Guadalajara,1735,3,Motores y máquinas (cosechadoras),"32,3",S,15,S,46,S,S,S
15,6,2014,Tortosa,Tivissa,Tarragona,873,1,Rayo,"32,1",S,47,N,47,S,N,S
20,4,2014,Tabernas / Almería Aeropuerto,Lucainena de las Torres,Almería,1550,3,Líneas eléctricas,"18,9",N,54,N,33,S,N,N
25,3,2014,Almería Aeropuerto,Alhama de Almería,Almería,3259,3,Líneas eléctricas,"22,7",N,69,N,72,S,N,N
9,3,2014,Reinosa / Santander,Arrendondo,Cantabria,534,4,Provocados por pastores y ganaderos para regenerar el pasto,"17,2",N,28,S,42,S,N,S
11,11,2013,Girona Aeropuerto,Vilopriu,Girona,520,4,Sin datos,"22,4",N,11,S,45,S,N,S
11,9,2013,Fisterra,Carnota,A Coruña,2166,4,"Provocados para ahuyentar animales (lobos, jabalíes)","21,4",N,52,N,76,S,N,N
11,9,2013,Santiago de Compostela,Negreira,A Coruña,646,4,Provocados por campesinos para eliminar matorral y residuos agrícolas,"24,1",N,37,S,39,S,N,S
4,9,2013,Villardeciervos,Hermisende,Zamora,1592,4,Provocados por pastores y ganaderos para regenerar el pasto,"34,5",S,13,S,25,N,N,S
4,9,2013,Pontevedra,Ponte Caldelas,Pontevedra,690,4,Provocados por pastores y ganaderos para regenerar el pasto,"29,4",N,34,N,23,N,N,N
26,8,2013,Vigo,Oia,Pontevedra,1824,4,Provocados por pastores y ganaderos para regenerar el pasto,"28,1",N,34,N,48,S,N,N
24,8,2013,Ourense,Cualedro,Ourense,883,4,Sin datos,"27,8",N,41,N,28,N,N,N
24,8,2013,Ourense,Cualedro,Ourense,690,5,Causa desconocida,"27,8",N,41,N,28,N,N,N
22,8,2013,Zamora,Villardegua de la Ribera,Zamora,1643,2,Quema de basura,"34,6",S,12,S,27,N,N,S
3,8,2013,Sotillo de la Adrada,Cebreros,Ávila,1095,3,Líneas eléctricas,"34,2",S,19,S,30,S,S,S
1,8,2013,Zamora,Portugal,Zamora,838,3,Motores y máquinas (cosechadoras),"35,2",S,21,S,35,S,S,S
31,7,2013,Guadalajara,Tortuero,Guadalajara,919,3,Motores y máquinas (cosechadoras),"35,9",S,19,S,48,S,S,S
26,7,2013,"Palma de Mallorca, Aeropuerto",Andratx,Islas Baleares,2347,2,Otras negligencias (sin especificar),"38,7",S,36,S,37,S,S,S
26,7,2013,Trujillo,Trujillo,Cáceres,1378,2,Fumadores,"31,3",S,39,N,33,S,N,S
25,7,2013,Xàtiva,Ayora,Valencia,607,3,Motores y máquinas (cosechadoras),"35,7",S,42,N,36,S,N,S
16,7,2013,Talavera de la Reina,Almorox,Toledo,1251,3,Motores y máquinas (sin especificar),"35,8",S,20,S,35,S,S,S
14,5,2013,"León, Virgen del Camino",Valdefresno,León,600,4,Sin datos,"19,8",N,58,N,63,S,N,N
23,9,2012,Utiel,Chulilla,Valencia,3703,5,Causa desconocida,32,S,37,N,68,S,N,S
22,9,2012,Villardeciervos,Pedralba de la Pradería,Zamora,2571,4,Provocados por campesinos para eliminar matorral y residuos agrícolas,"28,4",N,31,S,48,S,N,S
1,9,2012,Puerto de San Isidro / León,Riello,León,882,4,Provocados por pastores y ganaderos para regenerar el pasto,"17,7",N,29,S,31,S,N,S
1,9,2012,Talavera de la Reina,El Real de San Vicente,Toledo,607,4,Sin datos,"28,8",N,17,S,44,S,N,S
30,8,2012,Antequera,Coín,Málaga,8037,2,Quema agrícola (quema de restos de poda),"33,1",S,44,N,36,S,N,S
27,8,2012,Calatayud,Calcena,Zaragoza,4281,2,Otras negligencias (sin especificar),"36,8",S,18,S,40,S,S,S
27,8,2012,Robledo de Chavela,Robledo de Chavela,Madrid,1488,4,Sin datos,"31,5",S,30,S,32,S,S,S
21,8,2012,Pamplona / Pamplona Aeropuerto,Aras ,Navarra,620,2,Otras negligencias (juegos de niños),"37,9",S,16,S,55,S,S,S
19,8,2012,Lagunas de Somoza,Castrocontrigo,León,11592,4,Provocados por campesinos para eliminar matorral y residuos agrícolas,30,S,37,N,36,S,N,S
18,8,2012,Navarredonda de Gredos / Sotillo de la Adrada,Solana de Ávila,Ávila,1242,4,Provocados por venganzas,"30,6",S,28,S,28,N,N,S
18,8,2012,Benavente,Cubo de Benavente,Zamora,650,2,Quema agrícola (quema de rastrojos),"35,4",S,21,S,37,S,S,S
12,8,2012,Alicante,Torremanzanas,Alicante,706,3,Motores y máquinas (vehículos ligeros y pesados),"35,4",S,68,N,37,S,N,S
11,8,2012,Salamanca,Valdehijaderos,Salamanca,1035,3,Motores y máquinas (maquinaria fija),"33,8",S,28,S,44,S,S,S
11,8,2012,Guadalajara,El Cubillo de Uceda,Guadalajara,837,5,Causa desconocida,"38,1",S,8,S,61,S,S,S
11,8,2012,Ciudad Real,Navas de Estena,Ciudad Real,511,4,Sin datos,"40,1",S,8,S,51,S,S,S
10,8,2012,Ourense,O Barco de Valdeorras,Ourense,1750,6,Incendio reproducido,"37,2",S,32,N,27,N,N,N
4,8,2012,San Sebastián de la Gomera,Alajeró,S.C. Tenerife,2677,4,Represalia al reducirse las inversiones públicas en los montes,"35,8",S,22,S,59,S,S,S
4,8,2012,La Palma Aeropuerto,Villa de Mazo,S.C. Tenerife,2028,2,Fumadores,"25,7",N,73,N,45,S,N,N
3,8,2012,Coria,Gata,Cáceres,646,4,Sin datos,"37,1",S,13,S,37,S,S,S
1,8,2012,Molina de Aragón,Chequilla,Guadalajara,1126,2,Otras negligencias (sin especificar),"31,5",S,18,S,49,S,S,S
23,7,2012,Coria,Caminomorisco,Cáceres,620,4,Sin datos,"39,8",S,12,S,30,S,S,S
22,7,2012,Ripoll,La Jonquera,Girona,8730,2,Fumadores,"29,4",N,33,N,32,S,N,N
16,7,2012,La Palma Aeropuerto,El Paso (La Palma),S.C. Tenerife,752,2,Hogueras,"26,8",N,61,N,35,S,N,N
15,7,2012,Tenerife Sur Aeropuerto,Adeje,S.C. Tenerife,6512,2,Fumadores,"29,8",S,51,N,80,S,N,S
1,7,2012,Hellín,Hellín,Albacete,5207,4,Provocados por venganzas,"27,8",N,16,S,46,S,N,S
1,7,2012,Murcia,Otra provincia,Murcia,1342,4,Provocados por venganzas,35,S,13,S,53,S,S,S
29,6,2012,Utiel,Andilla,Valencia,20065,2,Otras negligencias (sin especificar),"36,6",S,22,S,48,S,S,S
28,6,2012,Xàtiva,Cortes de Pallás,Valencia,28879,3,Motores y máquinas (sin especificar),"42,7",S,12,S,28,N,N,S
12,6,2012,Xàtiva,Llocnou de San Jeroni,Valencia,1331,4,Sin datos,"28,2",N,16,S,39,S,N,S
12,6,2012,Santa Susanna,Castellet i la Gornal,Barcelona,568,4,Sin datos,23,N,43,N,32,S,N,N
1,6,2012,Utiel,Chelva,Valencia,702,4,Otras motivaciones,33,S,31,N,34,S,N,S
15,5,2012,Tortosa,Rasquera,Tarragona,2735,4,Sin datos,"29,5",S,14,S,86,S,S,S
31,3,2012,A Coruña,A Capela,A Coruña,805,2,Fumadores,"17,8",N,75,N,45,S,N,N
26,3,2012,Puerto de Leitariegos,Cangas del Narcea,Asturias,698,4,Provocados por pastores y ganaderos para regenerar el pasto,"16,2",N,34,N,31,S,N,N
26,3,2012,Llanes,Piloña,Asturias,692,4,Provocados por pastores y ganaderos para regenerar el pasto,"17,1",N,70,N,19,N,N,N
11,3,2012,Ponferrada,Palacios del Sil,León,519,4,Sin datos,"22,7",N,39,N,32,S,N,N
9,3,2012,Lagunas de Somoza,Truchas,León,905,4,Sin datos,"19,7",N,35,N,23,N,N,N
8,3,2012,Jaca,Montanuy,Huesca,2730,2,Quema agrícola (sin especificar),"11,8",N,10,S,99,S,N,S
28,2,2012,Villardeciervos,Hermisende,Zamora,2330,4,Provocados por cazadores para facilitar la caza,"19,3",N,19,S,24,N,N,N
28,2,2012,A Pobra de Trives,A Veiga,Ourense,554,4,"Provocados para ahuyentar animales (lobos, jabalíes)","18,1",N,25,S,21,N,N,N
4,2,2012,Málaga - Centro Meteorológico,Pujerra,Málaga,798,2,Quema de matorral (sin especificar),"6,6",N,28,N,50,S,N,S
8,1,2012,Villardeciervos,Pías,Zamora,1115,4,Provocados por campesinos para eliminar matorral y residuos agrícolas,"3,8",N,93,N,16,N,N,N
23,10,2011,Oviedo,Allande,Asturias,2012,6,Incendio reproducido,"22,6",N,37,N,51,S,N,N
18,10,2011,A Pobra de Trives,Manzaneda,Ourense,1285,6,Incendio reproducido,"21,5",N,37,N,37,S,N,N
18,10,2011,Lagunas de Somoza,Castrillo de Cabrera,León,580,4,Provocados por pastores y ganaderos para regenerar el pasto,22,N,38,N,10,N,N,N
17,10,2011,Ourense,Vilariño de Conso,Ourense,1486,4,Provocados por campesinos para eliminar matorral y residuos agrícolas,"28,7",N,44,N,12,N,N,N
17,10,2011,Puerto de Leitariegos / Oviedo,Cangas del Narcea,Asturias,901,4,Provocados por pastores y ganaderos para regenerar el pasto,"19,7",N,21,S,18,N,N,N
17,10,2011,Ourense,Manzaneda,Ourense,829,4,Provocados por campesinos para eliminar matorral y residuos agrícolas,"28,7",N,44,N,12,N,N,N
17,10,2011,Xinzo de Limia,Laza,Ourense,822,4,Provocados por campesinos para eliminar matorral y residuos agrícolas,"26,3",N,28,S,30,S,N,S
16,10,2011,Ourense,Maceda,Ourense,979,5,Causa desconocida,"27,5",N,45,N,8,N,N,N
16,10,2011,Puerto de Leitariegos,Cangas del Narcea,Asturias,727,6,Incendio reproducido,"20,1",N,21,S,33,S,N,S
15,10,2011,Xinzo de Limia,Monterrei,Ourense,1097,4,Provocados por campesinos para eliminar matorral y residuos agrícolas,"30,7",S,26,S,22,N,N,S
15,10,2011,A Pobra de Trives,Viana do Bolo,Ourense,980,4,Otras motivaciones,25,N,27,S,19,N,N,N
15,10,2011,A Pobra de Trives,Montederramo,Ourense,770,4,Vandalismo,25,N,27,S,19,N,N,N
14,10,2011,Ourense,Maceda,Ourense,723,4,Otras motivaciones,32,S,37,N,12,N,N,N
13,10,2011,A Pobra de Trives,Manzaneda,Ourense,3237,6,Incendio reproducido,27,N,25,S,23,N,N,N
13,10,2011,Xinzo de Limia,Portugal,Ourense,2424,4,Provocados por pastores y ganaderos para regenerar el pasto,"32,1",S,29,S,24,N,N,S
11,9,2011,Málaga - Centro Meteorológico,Mijas,Málaga,577,2,Hogueras,"36,1",S,32,N,35,S,N,S
9,9,2011,Lagunas de Somoza,Encinedo,León,654,4,Sin datos,"28,2",N,29,S,41,S,N,S
19,8,2011,Ávila,Navalacruz,Ávila,709,2,Fumadores,"32,4",S,29,S,36,S,S,S
13,8,2011,Ourense,Carballeda de Valdeorras,Ourense,513,4,Provocados por campesinos para eliminar matorral y residuos agrícolas,"34,2",S,31,S,37,S,S,S
25,5,2011,"Ibiza, Aeropuerto",Sant Joan de Labritja,Islas Baleares,1443,2,Otras negligencias (actividades apícolas),"26,4",N,55,N,30,S,N,N
9,4,2011,Villardeciervos,Lubián,Zamora,538,4,Provocados por cazadores para facilitar la caza,"23,4",N,36,N,45,S,N,N
8,4,2011,Xàtiva,Benicolet,Valencia,1449,4,Provocados por cazadores para facilitar la caza,34,S,12,S,25,N,N,S
