pais,fecha,pais_esp,lat,long,var_casos
France,2020-02-28,Francia,46.5650,2.5500,19
Greece,2020-02-28,Grecia,39.6660,21.7660,1
Iran,2020-02-28,Irán,32.5650,54.3010,143
Israel,2020-02-28,Israel,31.0260,34.8510,1
Italy,2020-02-28,Italia,42.7000,12.8000,233
Japan,2020-02-28,Japón,36.4910,139.0680,14
Kuwait,2020-02-28,Kuwait,29.4760,47.3760,2
Norway,2020-02-28,Noruega,61.1520,8.7400,5
United Kingdom,2020-02-28,Reino Unido,53.0000,-1.6000,5
Romania,2020-02-28,Rumanía,45.8440,24.9690,2
Thailand,2020-02-28,Tailandia,15.7000,100.8440,1
Taiwan*,2020-02-28,Taiwán,23.7540,120.9460,2
Germany,2020-02-29,Alemania,51.1100,9.8510,31
Australia,2020-02-29,Australia,-24.9730,136.1890,2
Austria,2020-02-29,Austria,47.6830,14.9120,6
Bahrain,2020-02-29,Bahrein,26.0190,50.5620,5
Brazil,2020-02-29,Brasil,-10.7720,-53.0890,1
Canada,2020-02-29,Canadá,59.0810,-109.4330,6
China,2020-02-29,China,33.4200,106.5140,428
"Korea, South",2020-02-29,Corea del Sur,36.5040,128.1030,813
Croatia,2020-02-29,Croacia,45.7230,16.6930,1
Denmark,2020-02-29,Dinamarca,56.0580,9.2640,2
United Arab Emirates,2020-02-29,Emiratos Árabes Unidos,23.5490,54.1630,2
Spain,2020-02-29,España,40.2270,-3.6490,13
US,2020-02-29,Estados Unidos,39.6220,-98.6060,8
Finland,2020-02-29,Finlandia,64.5040,26.2720,1
France,2020-02-29,Francia,46.5650,2.5500,43
Iraq,2020-02-29,Irak,33.0480,43.7720,6
Iran,2020-02-29,Irán,32.5650,54.3010,205
Israel,2020-02-29,Israel,31.0260,34.8510,3
Italy,2020-02-29,Italia,42.7000,12.8000,240
Japan,2020-02-29,Japón,36.4910,139.0680,13
Lebanon,2020-02-29,Líbano,33.9200,35.8880,2
Malaysia,2020-02-29,Malasia,4.2010,102.1950,2
Mexico,2020-02-29,México,23.9510,-102.5350,3
Norway,2020-02-29,Noruega,61.1520,8.7400,9
Oman,2020-02-29,Omán,21.6560,57.4070,2
Netherlands,2020-02-29,Países Bajos,52.0770,5.3890,5
Pakistan,2020-02-29,Pakistán,29.9670,69.3860,2
United Kingdom,2020-02-29,Reino Unido,53.0000,-1.6000,3
Singapore,2020-02-29,Singapur,1.3510,103.8080,9
Sweden,2020-02-29,Suecia,62.0110,15.2700,5
Switzerland,2020-02-29,Suiza,46.8610,7.9080,10
Thailand,2020-02-29,Tailandia,15.7000,100.8440,1
Taiwan*,2020-02-29,Taiwán,23.7540,120.9460,5
Germany,2020-03-01,Alemania,51.1100,9.8510,51
Australia,2020-03-01,Australia,-24.9730,136.1890,2
Austria,2020-03-01,Austria,47.6830,14.9120,5
Bahrain,2020-03-01,Bahrein,26.0190,50.5620,6
Belgium,2020-03-01,Bélgica,50.6430,4.6640,1
Canada,2020-03-01,Canadá,59.0810,-109.4330,4
China,2020-03-01,China,33.4200,106.5140,576
"Korea, South",2020-03-01,Corea del Sur,36.5040,128.1030,586
Croatia,2020-03-01,Croacia,45.7230,16.6930,1
Denmark,2020-03-01,Dinamarca,56.0580,9.2640,1
Egypt,2020-03-01,Egipto,26.4940,29.8720,1
Spain,2020-03-01,España,40.2270,-3.6490,39
US,2020-03-01,Estados Unidos,39.6220,-98.6060,6
Finland,2020-03-01,Finlandia,64.5040,26.2720,3
France,2020-03-01,Francia,46.5650,2.5500,30
Georgia,2020-03-01,Georgia,42.1760,43.5180,2
Greece,2020-03-01,Grecia,39.6660,21.7660,3
Iraq,2020-03-01,Irak,33.0480,43.7720,6
Iran,2020-03-01,Irán,32.5650,54.3010,385
Iceland,2020-03-01,Islandia,64.7640,-18.4800,2
Israel,2020-03-01,Israel,31.0260,34.8510,3
Italy,2020-03-01,Italia,42.7000,12.8000,566
Japan,2020-03-01,Japón,36.4910,139.0680,15
Lebanon,2020-03-01,Líbano,33.9200,35.8880,6
Malaysia,2020-03-01,Malasia,4.2010,102.1950,4
Mexico,2020-03-01,México,23.9510,-102.5350,1
Norway,2020-03-01,Noruega,61.1520,8.7400,4
Netherlands,2020-03-01,Países Bajos,52.0770,5.3890,4
Qatar,2020-03-01,Qatar,25.3160,51.1910,2
United Kingdom,2020-03-01,Reino Unido,53.0000,-1.6000,13
Singapore,2020-03-01,Singapur,1.3510,103.8080,4
Sweden,2020-03-01,Suecia,62.0110,15.2700,2
Switzerland,2020-03-01,Suiza,46.8610,7.9080,9
Taiwan*,2020-03-01,Taiwán,23.7540,120.9460,1
Germany,2020-03-02,Alemania,51.1100,9.8510,29
Algeria,2020-03-02,Argelia,28.1630,2.6320,2
Australia,2020-03-02,Australia,-24.9730,136.1890,3
Austria,2020-03-02,Austria,47.6830,14.9120,4
Bahrain,2020-03-02,Bahrein,26.0190,50.5620,2
Belgium,2020-03-02,Bélgica,50.6430,4.6640,6
Canada,2020-03-02,Canadá,59.0810,-109.4330,3
China,2020-03-02,China,33.4200,106.5140,204
"Korea, South",2020-03-02,Corea del Sur,36.5040,128.1030,599
Spain,2020-03-02,España,40.2270,-3.6490,36
US,2020-03-02,Estados Unidos,39.6220,-98.6060,24
France,2020-03-02,Francia,46.5650,2.5500,61
India,2020-03-02,India,21.0000,78.5000,2
Iraq,2020-03-02,Irak,33.0480,43.7720,7
Iran,2020-03-02,Irán,32.5650,54.3010,523
Iceland,2020-03-02,Islandia,64.7640,-18.4800,3
Italy,2020-03-02,Italia,42.7000,12.8000,342
Japan,2020-03-02,Japón,36.4910,139.0680,18
Kuwait,2020-03-02,Kuwait,29.4760,47.3760,11
Lebanon,2020-03-02,Líbano,33.9200,35.8880,3
Norway,2020-03-02,Noruega,61.1520,8.7400,6
Netherlands,2020-03-02,Países Bajos,52.0770,5.3890,8
United Kingdom,2020-03-02,Reino Unido,53.0000,-1.6000,4
Russia,2020-03-02,Rusia,61.9880,96.6890,1
San Marino,2020-03-02,San Marino,43.9420,12.4600,7
Singapore,2020-03-02,Singapur,1.3510,103.8080,2
Sweden,2020-03-02,Suecia,62.0110,15.2700,1
Switzerland,2020-03-02,Suiza,46.8610,7.9080,15
Thailand,2020-03-02,Tailandia,15.7000,100.8440,1
Taiwan*,2020-03-02,Taiwán,23.7540,120.9460,1
Germany,2020-03-03,Alemania,51.1100,9.8510,37
Algeria,2020-03-03,Argelia,28.1630,2.6320,2
Australia,2020-03-03,Australia,-24.9730,136.1890,9
Austria,2020-03-03,Austria,47.6830,14.9120,3
Belgium,2020-03-03,Bélgica,50.6430,4.6640,5
Canada,2020-03-03,Canadá,59.0810,-109.4330,3
China,2020-03-03,China,33.4200,106.5140,125
"Korea, South",2020-03-03,Corea del Sur,36.5040,128.1030,851
Croatia,2020-03-03,Croacia,45.7230,16.6930,2
Cruise Ship,2020-03-03,Crucero de Japón,35.4437,139.6380,1
Denmark,2020-03-03,Dinamarca,56.0580,9.2640,2
Ecuador,2020-03-03,Ecuador,-1.3850,-78.4970,1
