Institución;Tipo institución;Coste €;Empresa adjudicataria;Fuente
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Universidades;361838,21;Wiley Suscription Services, Inc.;http://www.boe.es/buscar/doc.php?id=BOE-B-2016-43998
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Universidades;1487844,58;Elsevier, B.V.;http://www.boe.es/buscar/doc.php?id=BOE-B-2016-43400
Universidad de Valladolid;Universidades;418028,81;Elsevier, B.V.;http://www.boe.es/buscar/doc.php?id=BOE-B-2016-39719
Instituto Español de Oceanografía;Ministerios;191768,54;Greendata, S.L.;http://www.boe.es/buscar/doc.php?id=BOE-B-2016-38267
Bibliotecas Universitarias de Madrid y UNED;Universidades;1657737,87;Elsevier, B.V.;http://www.boe.es/buscar/doc.php?id=BOE-B-2016-37276
Osakidetza-Servicio Vasco de Salud;CCAA;436426,00;EBSCO Subscription Services España, S.L.U.;http://www.boe.es/buscar/doc.php?id=BOE-B-2016-36754
Osakidetza-Servicio Vasco de Salud;CCAA;774007,00;EBSCO Subscription Services España, S.L.U.;http://www.boe.es/buscar/doc.php?id=BOE-B-2016-35256
Osakidetza-Servicio Vasco de Salud;CCAA;1001349,15;EBSCO Subscription Services España, S.L.U.;http://www.boe.es/buscar/doc.php?id=BOE-B-2016-34670
Bibliotecas Universitarias de Cataluña;Universidades;4639937,58;Elsevier, B.V.;http://www.boe.es/buscar/doc.php?id=BOE-B-2016-33682
Osakidetza-Servicio Vasco de Salud;CCAA;752535,00;EBSCO Subscription Services España, S.L.U.;http://www.boe.es/buscar/doc.php?id=BOE-B-2016-33656
Universidad de La Laguna;Universidades;541430,23;EBSCO Subscription Services España, S.L.U.;http://www.boe.es/buscar/doc.php?id=BOE-B-2016-31812
Universidad de Vigo;Universidades;39569,42;EBSCO Subscription Services España, S.L.U.;http://www.boe.es/buscar/doc.php?id=BOE-B-2016-31123
Universidad de Vigo;Universidades;222261,52;EBSCO Subscription Services España, S.L.U.;http://www.boe.es/buscar/doc.php?id=BOE-B-2016-31122
CIEMAT;Ministerios;407417,89;Elsevier, B.V.;http://www.boe.es/buscar/doc.php?id=BOE-B-2016-30037
Osakidetza-Servicio Vasco de Salud;CCAA;343631,00;EBSCO Subscription Services España, S.L.U.;http://www.boe.es/buscar/doc.php?id=BOE-B-2016-28771
CSIC;Ministerios;2020594,75;Elsevier, B.V.;http://www.boe.es/buscar/doc.php?id=BOE-B-2016-26705
Universidad de Alicante;Universidades;299269,74;EBSCO Subscription Services España, S.L.U.;http://www.boe.es/buscar/doc.php?id=BOE-B-2016-25924
