ID_ACCIDENTE,ANIO,MES,HORA,DIASEMANA,PROVINCIA,COMUNIDAD_AUTONOMA,ISLA,MUNICIPIO,TOT_VICTIMAS,TOT_MUERTOS,TOT_HERIDOS_GRAVES,TOT_HERIDOS_LEVES,TOT_VEHICULOS_IMPLICADOS,ZONA,ZONA_AGRUPADA,CARRETERA,RED_CARRETERA,TIPO_VIA,TRAZADO_NO_INTERSEC,TIPO_INTERSEC,ACOND_CALZADA,PRIORIDAD,SUPERFICIE_CALZADA,LUMINOSIDAD,FACTORES_ATMOSFERICOS,VISIBILIDAD_RESTRINGIDA,OTRA_CIRCUNSTANCIA,ACERAS,TIPO_ACCIDENTE,DENSIDAD_CIRCULACION,MEDIDAS_ESPECIALES,COD_ANIMAL
2008330004750,2008,12,19:00,MARTES,Asturias,"Asturias, Principado de",,Siero,3,0,0,3,1,CARRETERA,VÍAS INTERURBANAS,SI-4,TITULARIDAD AUTONÓMICA,VÍA CONVENCIONAL,EN T Ó Y,,SIN DATO,NINGUNA (SOLO NORMA),MOJADA,NOCHE: ILUMINACIÓN INSUFICIENTE,LLOVIZNANDO,SIN RESTRICCIÓN,NINGUNA,N,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Jabalí
2008330003996,2008,10,08:00,VIERNES,Asturias,"Asturias, Principado de",,Siero,1,0,0,1,1,CARRETERA,VÍAS INTERURBANAS,AS-249,TITULARIDAD AUTONÓMICA,VÍA CONVENCIONAL,EN X Ó +,,SIN DATO,NINGUNA (SOLO NORMA),UMBRÍA,CREPÚSCULO,NIEBLA INTENSA,SIN RESTRICCIÓN,FUERTE DESCENSO,N,Otro tipo de accidente,FLUIDA,NINGUNA MEDIDA,Equino
2008330001381,2008,4,22:00,VIERNES,Asturias,"Asturias, Principado de",,Siero,1,0,0,1,1,CARRETERA,VÍAS INTERURBANAS,SI-16,TITULARIDAD AUTONÓMICA,VÍA CONVENCIONAL,EN T Ó Y,,SIN DATO,NINGUNA (SOLO NORMA),SECA Y LIMPIA,NOCHE: SIN ILUMINACIÓN,BUEN TIEMPO,SIN RESTRICCIÓN,NINGUNA,N,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Jabalí
2009330002830,2009,7,06:00,LUNES,Asturias,"Asturias, Principado de",,Siero,1,0,0,1,1,CARRETERA,VÍAS INTERURBANAS,N-634,TITULARIDAD ESTATAL,VÍA CONVENCIONAL,EN T Ó Y,,SIN DATO,NINGUNA (SOLO NORMA),SECA Y LIMPIA,NOCHE: ILUMINACIÓN SUFICIENTE,BUEN TIEMPO,SIN RESTRICCIÓN,NINGUNA,N,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Vacuno
2010330004850,2010,12,20:00,MIÉRCOLES,Asturias,"Asturias, Principado de",,Siero,1,0,0,1,1,CARRETERA,VÍAS INTERURBANAS,A-64,TITULARIDAD ESTATAL,AUTOVÍA,EN T Ó Y,,SIN DATO,NINGUNA (SOLO NORMA),SECA Y LIMPIA,NOCHE: SIN ILUMINACIÓN,BUEN TIEMPO,SIN RESTRICCIÓN,NINGUNA,N,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Jabalí
2010330000836,2010,3,20:00,SÁBADO,Asturias,"Asturias, Principado de",,Siero,1,0,0,1,1,CARRETERA,VÍAS INTERURBANAS,SI-4,TITULARIDAD AUTONÓMICA,VÍA CONVENCIONAL,EN T Ó Y,,SIN DATO,NINGUNA (SOLO NORMA),SECA Y LIMPIA,NOCHE: ILUMINACIÓN INSUFICIENTE,BUEN TIEMPO,SIN RESTRICCIÓN,CAMBIO DE RASANTE,N,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Canino
2011330002413,2011,6,14:00,SÁBADO,Asturias,"Asturias, Principado de",,Siero,1,0,0,1,1,CARRETERA,VÍAS INTERURBANAS,SI-11,TITULARIDAD AUTONÓMICA,VÍA CONVENCIONAL,EN T Ó Y,,SIN DATO,NINGUNA (SOLO NORMA),SECA Y LIMPIA,PLENO DÍA,BUEN TIEMPO,OTRA_CAUSA,NINGUNA,N,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Canino
2011330005188,2011,12,19:00,DOMINGO,Asturias,"Asturias, Principado de",,Siero,1,0,0,1,1,CARRETERA,VÍAS INTERURBANAS,SI-16,TITULARIDAD AUTONÓMICA,VÍA CONVENCIONAL,EN T Ó Y,,SIN DATO,NINGUNA (SOLO NORMA),SECA Y LIMPIA,NOCHE: SIN ILUMINACIÓN,BUEN TIEMPO,SIN RESTRICCIÓN,NINGUNA,N,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Jabalí
2011330000460,2011,1,22:00,JUEVES,Asturias,"Asturias, Principado de",,Siero,2,0,0,2,1,CARRETERA,VÍAS INTERURBANAS,SI-6,TITULARIDAD AUTONÓMICA,VÍA CONVENCIONAL,EN T Ó Y,,SIN DATO,NINGUNA (SOLO NORMA),SECA Y LIMPIA,NOCHE: SIN ILUMINACIÓN,BUEN TIEMPO,SIN RESTRICCIÓN,NINGUNA,N,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Vacuno
2012330001229,2012,3,22:00,SÁBADO,Asturias,"Asturias, Principado de",,Siero,1,0,0,1,1,CARRETERA,VÍAS INTERURBANAS,SI-11,TITULARIDAD AUTONÓMICA,VÍA CONVENCIONAL,EN X Ó +,,SIN DATO,NINGUNA (SOLO NORMA),SECA Y LIMPIA,NOCHE: ILUMINACIÓN INSUFICIENTE,BUEN TIEMPO,SIN RESTRICCIÓN,NINGUNA,N,Salida de la vía por la derecha con colisión (Choque con árbol o poste),FLUIDA,NINGUNA MEDIDA,Canino
2012330001766,2012,4,00:00,SÁBADO,Asturias,"Asturias, Principado de",,Siero,2,0,0,2,1,CARRETERA,VÍAS INTERURBANAS,A-64,TITULARIDAD ESTATAL,AUTOVÍA,EN T Ó Y,,SIN DATO,NINGUNA (SOLO NORMA),MOJADA,NOCHE: SIN ILUMINACIÓN,LLOVIZNANDO,FACTORES ATMOSFÉRICOS,NINGUNA,N,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Jabalí
2012330003185,2012,8,22:00,MIÉRCOLES,Asturias,"Asturias, Principado de",,Siero,5,0,0,5,5,CARRETERA,VÍAS INTERURBANAS,AS-I,TITULARIDAD AUTONÓMICA,AUTOVÍA,EN T Ó Y,,SIN DATO,NINGUNA (SOLO NORMA),SECA Y LIMPIA,NOCHE: ILUMINACIÓN INSUFICIENTE,BUEN TIEMPO,SIN RESTRICCIÓN,NINGUNA,N,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Equino
2012330000788,2012,2,23:00,SÁBADO,Asturias,"Asturias, Principado de",,Siero,1,0,0,1,1,CARRETERA,VÍAS INTERURBANAS,AS-249,TITULARIDAD AUTONÓMICA,VÍA CONVENCIONAL,EN X Ó +,,SIN DATO,NINGUNA (SOLO NORMA),SECA Y LIMPIA,NOCHE: SIN ILUMINACIÓN,BUEN TIEMPO,SIN RESTRICCIÓN,NINGUNA,N,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Jabalí
2012330004473,2012,11,21:00,SÁBADO,Asturias,"Asturias, Principado de",,Siero,1,0,0,1,1,CARRETERA,VÍAS INTERURBANAS,A-64,TITULARIDAD ESTATAL,AUTOVÍA,EN T Ó Y,,SIN DATO,NINGUNA (SOLO NORMA),SECA Y LIMPIA,NOCHE: SIN ILUMINACIÓN,BUEN TIEMPO,SIN RESTRICCIÓN,NINGUNA,N,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Jabalí
2013330003715,2013,9,22:00,SÁBADO,Asturias,"Asturias, Principado de",,Siero,1,0,0,1,1,CARRETERA,VÍAS INTERURBANAS,AS-119,TITULARIDAD AUTONÓMICA,VÍA CONVENCIONAL,EN X Ó +,,SIN DATO,NINGUNA (SOLO NORMA),SECA Y LIMPIA,NOCHE: SIN ILUMINACIÓN,BUEN TIEMPO,SIN RESTRICCIÓN,NINGUNA,N,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Jabalí
2013330003767,2013,9,07:40,DOMINGO,Asturias,"Asturias, Principado de",,Siero,1,0,0,1,1,CARRETERA,VÍAS INTERURBANAS,N-634,TITULARIDAD ESTATAL,VÍA CONVENCIONAL,EN X Ó +,,SIN DATO,NINGUNA (SOLO NORMA),SECA Y LIMPIA,NOCHE: SIN ILUMINACIÓN,BUEN TIEMPO,SIN RESTRICCIÓN,NINGUNA,N,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Equino
2013330004192,2013,10,22:30,JUEVES,Asturias,"Asturias, Principado de",,Siero,1,0,0,1,1,CARRETERA,VÍAS INTERURBANAS,LOCAL S/N,TITULARIDAD MUNICIPAL,VÍA CONVENCIONAL,EN T Ó Y,,SIN DATO,NINGUNA (SOLO NORMA),MOJADA,NOCHE: SIN ILUMINACIÓN,BUEN TIEMPO,SIN RESTRICCIÓN,NINGUNA,N,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Jabalí
2012330004654,2012,12,20:00,LUNES,Asturias,"Asturias, Principado de",,,2,0,0,2,1,CARRETERA,VÍAS INTERURBANAS,AS-117,TITULARIDAD AUTONÓMICA,VÍA CONVENCIONAL,EN X Ó +,,SIN DATO,NINGUNA (SOLO NORMA),MOJADA,NOCHE: ILUMINACIÓN INSUFICIENTE,LLUVIA FUERTE,SIN RESTRICCIÓN,NINGUNA,N,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Canino
2013330000910,2013,2,07:00,LUNES,Asturias,"Asturias, Principado de",,,1,0,0,1,1,CARRETERA,VÍAS INTERURBANAS,AS-117,TITULARIDAD AUTONÓMICA,VÍA CONVENCIONAL,EN X Ó +,,SIN DATO,NINGUNA (SOLO NORMA),MOJADA,NOCHE: ILUMINACIÓN INSUFICIENTE,BUEN TIEMPO,SIN RESTRICCIÓN,NINGUNA,N,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Vacuno
